VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,ground_truth_mass_medium,ground_truth_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
80,small,low,80-motion,Low Density,4.415625,1.589625,0.17662500000000003,35.32781433771639,9.887737769004172,9.031717306387568,9.015966525348546
80,small,low,80-motion,Medium Density,8.83125,3.17925,0.35325000000000006,35.15410647900079,13.429756984956715,9.051991535674402,9.015966525348546
80,small,low,80-motion,High Density,17.6625,6.3585,0.7065000000000001,147.92862460299347,43.41806644013886,9.427593635386952,9.015966525348546
80,small,normal,80-motion,Low Density,35.325,12.717,1.4130000000000003,283.76098784531047,116.16875574020875,11.866618875888967,9.015966525348546
80,small,normal,80-motion,Medium Density,70.65,25.434,2.8260000000000005,358.5067561466269,147.86285050063117,28.33608488745659,9.015966525348546
80,small,normal,80-motion,High Density,141.3,50.868,5.652000000000001,423.31404144866644,181.2761778473302,43.844528947026596,9.015966525348546
80,medium,low,80-motion,Low Density,4.415625,1.589625,0.17662500000000003,17.399787145103197,13.378473580766673,12.965974915483098,12.797139403489329
80,medium,low,80-motion,Medium Density,8.83125,3.17925,0.35325000000000006,43.421445800660734,17.23564915798671,12.836020347616513,12.797139403489329
80,medium,low,80-motion,High Density,17.6625,6.3585,0.7065000000000001,149.5262394223273,54.6597958207893,14.705405260257688,12.797139403489329
80,medium,normal,80-motion,Low Density,35.325,12.717,1.4130000000000003,302.0863608365378,123.6343779445881,18.87815687787657,12.797139403489327
80,medium,normal,80-motion,Medium Density,70.65,25.434,2.8260000000000005,385.41257045203247,161.621219921695,27.627640884106597,12.797139403489327
80,medium,normal,80-motion,High Density,141.3,50.868,5.652000000000001,449.7201263369534,192.67344301497,41.163035167065715,12.797139403489327
80,large,low,80-motion,Low Density,4.415625,1.589625,0.17662500000000003,24.97260698676002,24.11894085854112,17.48935177400071,17.219623828126213
80,large,low,80-motion,Medium Density,8.83125,3.17925,0.35325000000000006,38.913082390168384,26.063327392461478,17.836982404833112,17.219623828126213
80,large,low,80-motion,High Density,17.6625,6.3585,0.7065000000000001,162.21538604520208,65.85001558208252,18.683189137883286,17.219623828126213
80,large,normal,80-motion,Low Density,35.325,12.717,1.4130000000000003,286.29631880749037,130.3150854434911,26.077946478475592,17.219623828126213
80,large,normal,80-motion,Medium Density,70.65,25.434,2.8260000000000005,352.0125831661288,158.94421847053263,37.383206574407936,17.219623828126213
80,large,normal,80-motion,High Density,141.3,50.868,5.652000000000001,406.77129707112294,193.65526977450173,55.44780092928255,17.219623828126213
100,small,low,100-motion,Low Density,4.415625,1.589625,0.17662500000000003,18.60039745046751,16.717837504629642,15.666554769394393,15.63606913327985
100,small,low,100-motion,Medium Density,8.83125,3.17925,0.35325000000000006,28.84497876173959,20.462778167562057,15.661925864454508,15.63606913327985
100,small,low,100-motion,High Density,17.6625,6.3585,0.7065000000000001,134.5098805359365,52.141228686524265,16.56114547662431,15.63606913327985
100,small,normal,100-motion,Low Density,35.325,12.717,1.4130000000000003,259.4882981722247,108.55999759398597,21.402088230480757,15.63606913327985
100,small,normal,100-motion,Medium Density,70.65,25.434,2.8260000000000005,323.62790501890936,146.87762129274898,38.13439765820326,15.63606913327985
100,small,normal,100-motion,High Density,141.3,50.868,5.652000000000001,361.2172868726396,165.58276648894707,53.14768824976674,15.63606913327985
100,medium,low,100-motion,Low Density,4.415625,1.589625,0.17662500000000003,45.00222757077942,24.303414290853937,24.95962294395097,22.193625513752288
100,medium,low,100-motion,Medium Density,8.83125,3.17925,0.35325000000000006,40.78418652887681,31.134078650532654,22.434854430581044,22.193625513752288
100,medium,low,100-motion,High Density,17.6625,6.3585,0.7065000000000001,148.20921855808928,61.11271244781811,23.309583624657073,22.193625513752288
100,medium,normal,100-motion,Low Density,35.325,12.717,1.4130000000000003,272.5059165173944,117.07733112403946,23.828576240490996,22.193625513752284
100,medium,normal,100-motion,Medium Density,70.65,25.434,2.8260000000000005,355.5499265207952,157.07829134639533,35.23696434240886,22.193625513752284
100,medium,normal,100-motion,High Density,141.3,50.868,5.652000000000001,407.3735469817438,190.34083220605515,50.39918946434568,22.193625513752284
100,large,low,100-motion,Low Density,4.415625,1.589625,0.17662500000000003,32.07945415923953,30.40660402524837,30.03358389371367,29.86338616499686
100,large,low,100-motion,Medium Density,8.83125,3.17925,0.35325000000000006,42.585957109197864,33.17434352955128,30.060392094958512,29.86338616499686
100,large,low,100-motion,High Density,17.6625,6.3585,0.7065000000000001,130.55400439077698,52.47448359881815,30.299252312920572,29.86338616499686
100,large,normal,100-motion,Low Density,35.325,12.717,1.4130000000000003,279.4970069567535,130.94915684090645,31.114566601048512,29.86338616499686
100,large,normal,100-motion,Medium Density,70.65,25.434,2.8260000000000005,375.8844335027697,172.4470330521312,36.85487953845306,29.86338616499686
100,large,normal,100-motion,High Density,141.3,50.868,5.652000000000001,436.8167822127895,206.64617293230498,60.30389898041627,29.86338616499686
120,small,low,120-motion,Low Density,4.415625,1.589625,0.17662500000000003,29.358301582742403,27.405918607054975,26.740144291803905,26.715244895938195
120,small,low,120-motion,Medium Density,8.83125,3.17925,0.35325000000000006,36.50640644677152,29.626070953526735,26.892635705051468,26.715244895938195
120,small,low,120-motion,High Density,17.6625,6.3585,0.7065000000000001,129.3820467786059,54.726200319730836,27.013296417276432,26.715244895938195
120,small,normal,120-motion,Low Density,35.325,12.717,1.4130000000000003,271.08102488354984,117.02284539138506,30.134328683840796,26.715244895938195
120,small,normal,120-motion,Medium Density,70.65,25.434,2.8260000000000005,340.3411627382923,156.6604500324681,46.90945373137141,26.715244895938195
120,small,normal,120-motion,High Density,141.3,50.868,5.652000000000001,384.25512734742335,184.98888456756822,61.46406967928648,26.715244895938195
120,medium,low,120-motion,Low Density,4.415625,1.589625,0.17662500000000003,41.44686403844921,38.77182191632792,38.01425084323937,37.9192634068227
120,medium,low,120-motion,Medium Density,8.83125,3.17925,0.35325000000000006,54.22430006670658,42.6606549953766,38.275196328525325,37.9192634068227
120,medium,low,120-motion,High Density,17.6625,6.3585,0.7065000000000001,126.80959594625631,60.02791732833782,37.982502581944956,37.9192634068227
120,medium,normal,120-motion,Low Density,35.325,12.717,1.4130000000000003,275.8735536143073,124.16197036144047,42.53813137384883,37.9192634068227
120,medium,normal,120-motion,Medium Density,70.65,25.434,2.8260000000000005,345.54490541687096,160.70560065786785,56.86139636670691,37.9192634068227
120,medium,normal,120-motion,High Density,141.3,50.868,5.652000000000001,393.9432621715114,191.22495890995742,66.25285339407456,37.9192634068227
120,large,low,120-motion,Low Density,4.415625,1.589625,0.17662500000000003,53.900647251597825,51.61353112792742,51.111173870206144,51.02355642769442
120,large,low,120-motion,Medium Density,8.83125,3.17925,0.35325000000000006,63.29209614048914,54.26351306710137,51.10045890308902,51.02355642769442
120,large,low,120-motion,High Density,17.6625,6.3585,0.7065000000000001,143.4918428397732,74.43179859038338,51.583583959067155,51.02355642769442
120,large,normal,120-motion,Low Density,35.325,12.717,1.4130000000000003,289.0932775571895,139.1797590580875,53.95584694580471,51.02355642769442
120,large,normal,120-motion,Medium Density,70.65,25.434,2.8260000000000005,356.9575961108583,172.28493627114048,72.18102958083895,51.02355642769442
120,large,normal,120-motion,High Density,141.3,50.868,5.652000000000001,407.8717007243871,204.78565002610497,85.93514447702071,51.02355642769442
135,small,low,135-motion,Low Density,4.415625,1.589625,0.17662500000000003,48.93144164415915,45.94318521828474,45.079711484600196,44.969875598531345
135,small,low,135-motion,Medium Density,8.83125,3.17925,0.35325000000000006,58.12319536568622,48.785965931610534,45.12973473144563,44.969875598531345
135,small,low,135-motion,High Density,17.6625,6.3585,0.7065000000000001,140.37394734387658,70.75564800234751,45.25103575725693,44.969875598531345
135,small,normal,135-motion,Low Density,35.325,12.717,1.4130000000000003,287.23405327277777,132.47758134335507,48.42535956183215,44.969875598531345
135,small,normal,135-motion,Medium Density,70.65,25.434,2.8260000000000005,360.56066275192563,172.22568059280837,60.55280659791204,44.969875598531345
135,small,normal,135-motion,High Density,141.3,50.868,5.652000000000001,420.3402087440684,208.2937962644978,80.7420096994637,44.969875598531345
135,medium,low,135-motion,Low Density,4.415625,1.589625,0.17662500000000003,66.29469973174169,64.59168618319751,63.88975784840347,63.829652446479145
135,medium,low,135-motion,Medium Density,8.83125,3.17925,0.35325000000000006,76.63654152881318,68.93650936760045,63.98815328093384,63.829652446479145
135,medium,low,135-motion,High Density,17.6625,6.3585,0.7065000000000001,165.32632568507566,82.42059724042707,63.9849917918808,63.829652446479145
135,medium,normal,135-motion,Low Density,35.325,12.717,1.4130000000000003,304.68936661498685,147.51814245491377,67.21259428827186,63.829652446479145
135,medium,normal,135-motion,Medium Density,70.65,25.434,2.8260000000000005,368.8191354234811,187.75547149364795,79.24552204221203,63.829652446479145
135,medium,normal,135-motion,High Density,141.3,50.868,5.652000000000001,424.29496728425363,223.04767702535585,91.97128433249785,63.829652446479145
135,large,low,135-motion,Low Density,4.415625,1.589625,0.17662500000000003,89.21196641446461,86.78476097891367,86.03121695553466,85.88817027949261
135,large,low,135-motion,Medium Density,8.83125,3.17925,0.35325000000000006,98.63976629415643,89.19222794042354,86.0573984605804,85.88817027949261
135,large,low,135-motion,High Density,17.6625,6.3585,0.7065000000000001,181.96951706959112,113.12967039607065,86.30225433080341,85.88817027949261
135,large,normal,135-motion,Low Density,35.325,12.717,1.4130000000000003,317.04118087923086,173.85577962764194,89.67846028399026,85.88817027949261
135,large,normal,135-motion,Medium Density,70.65,25.434,2.8260000000000005,410.0519595957935,217.60854631129047,100.87285099615428,85.88817027949261
135,large,normal,135-motion,High Density,141.3,50.868,5.652000000000001,467.4363949555634,255.34497329548032,120.52371474526541,85.88817027949261
